pi,p,b,r
-0.9523809523809523,0.047619047619047616,1.0,-0.9047619047619048
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-0.16666666666666666,0.0,0.16666666666666666,-1.0
-0.9772727272727273,0.022727272727272728,1.0,-0.9545454545454546
-1.0,0.0,1.0,-1.0
-0.625,0.041666666666666664,0.6666666666666666,-0.9166666666666666
-1.0,0.0,1.0,-1.0
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.8846153846153846,0.11538461538461539,1.0,-0.7692307692307692
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-0.46296296296296297,0.037037037037037035,0.5,-0.9259259259259259
-0.5,0.0,0.5,-1.0
-0.14583333333333331,0.020833333333333332,0.16666666666666666,-0.9583333333333334
-0.6510416666666666,0.015625,0.6666666666666666,-0.96875
-0.6021505376344085,0.06451612903225806,0.6666666666666666,-0.8709677419354839
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
0.08333333333333333,0.08333333333333333,0.0,-1.0
-0.9047619047619048,0.09523809523809523,1.0,-0.8095238095238095
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-0.632183908045977,0.034482758620689655,0.6666666666666666,-0.9310344827586207
-1.0,0.0,1.0,-1.0
-0.96875,0.03125,1.0,-0.9375
-0.9142857142857143,0.08571428571428572,1.0,-0.8285714285714285
-1.0,0.0,1.0,-1.0
-0.9714285714285714,0.02857142857142857,1.0,-0.9428571428571428
-1.0,0.0,1.0,-1.0
-0.9523809523809523,0.047619047619047616,1.0,-0.9047619047619048
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.9166666666666666,0.08333333333333333,1.0,-0.8333333333333334
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
0.2,0.2,0.0,-1.0
0.3333333333333333,0.3333333333333333,0.0,-1.0
0.1,0.1,0.0,-1.0
-0.4824561403508772,0.017543859649122806,0.5,-0.9649122807017544
0.02631578947368421,0.02631578947368421,0.0,-1.0
-0.9811320754716981,0.018867924528301886,1.0,-0.9622641509433962
-0.47674418604651164,0.023255813953488372,0.5,-0.9534883720930233
-0.1375,0.0625,0.2,-0.875
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.9615384615384616,0.038461538461538464,1.0,-0.9230769230769231
-0.1,0.0,0.1,-1.0
-0.5,0.0,0.5,-1.0
0.14285714285714285,0.14285714285714285,0.0,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-0.4583333333333333,0.041666666666666664,0.5,-0.9166666666666666
-0.9444444444444444,0.05555555555555555,1.0,-0.8888888888888888
-0.15121951219512197,0.04878048780487805,0.2,-0.9024390243902439
-0.1111111111111111,0.05555555555555555,0.16666666666666666,-0.8888888888888888
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.25,0.0,0.25,-1.0
-0.3083333333333333,0.025,0.3333333333333333,-0.95
-0.9310344827586207,0.06896551724137931,1.0,-0.8620689655172413
-0.5,0.0,0.5,-1.0
-0.25,0.0,0.25,-1.0
-1.0,0.0,1.0,-1.0
-0.5361702127659574,0.06382978723404255,0.6,-0.8723404255319149
-0.606060606060606,0.06060606060606061,0.6666666666666666,-0.8787878787878788
-0.25,0.08333333333333333,0.3333333333333333,-0.8333333333333334
-0.8888888888888888,0.1111111111111111,1.0,-0.7777777777777778
-0.5,0.0,0.5,-1.0
-0.6140350877192982,0.05263157894736842,0.6666666666666666,-0.8947368421052632
-0.5,0.0,0.5,-1.0
-0.34857142857142853,0.08,0.42857142857142855,-0.84
-0.5797101449275361,0.08695652173913043,0.6666666666666666,-0.8260869565217391
-0.9482758620689655,0.05172413793103448,1.0,-0.896551724137931
-0.45918367346938777,0.04081632653061224,0.5,-0.9183673469387755
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.8461538461538461,0.15384615384615385,1.0,-0.6923076923076923
-1.0,0.0,1.0,-1.0
-0.48717948717948717,0.01282051282051282,0.5,-0.9743589743589743
-0.9512195121951219,0.04878048780487805,1.0,-0.9024390243902439
-1.0,0.0,1.0,-1.0
-0.4696969696969697,0.030303030303030304,0.5,-0.9393939393939394
-0.9777777777777777,0.022222222222222223,1.0,-0.9555555555555556
-0.9387755102040817,0.061224489795918366,1.0,-0.8775510204081632
-0.92,0.08,1.0,-0.84
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.9545454545454546,0.045454545454545456,1.0,-0.9090909090909091
-0.9545454545454546,0.045454545454545456,1.0,-0.9090909090909091
-1.0,0.0,1.0,-1.0
-0.875,0.125,1.0,-0.75
-0.6190476190476191,0.047619047619047616,0.6666666666666666,-0.9047619047619048
-0.9347826086956522,0.06521739130434782,1.0,-0.8695652173913043
-1.0,0.0,1.0,-1.0
-0.9782608695652174,0.021739130434782608,1.0,-0.9565217391304348
-0.5666666666666667,0.1,0.6666666666666666,-0.8
-0.9545454545454546,0.045454545454545456,1.0,-0.9090909090909091
-0.9333333333333333,0.06666666666666667,1.0,-0.8666666666666667
-0.6327683615819208,0.03389830508474576,0.6666666666666666,-0.9322033898305084
-0.6071428571428572,0.14285714285714285,0.75,-0.7142857142857143
-0.9714285714285714,0.02857142857142857,1.0,-0.9428571428571428
-0.4666666666666667,0.03333333333333333,0.5,-0.9333333333333333
-1.0,0.0,1.0,-1.0
-0.9607843137254902,0.0392156862745098,1.0,-0.9215686274509804
-0.953125,0.046875,1.0,-0.90625
-0.8571428571428572,0.14285714285714285,1.0,-0.7142857142857143
-1.0,0.0,1.0,-1.0
-0.9583333333333334,0.041666666666666664,1.0,-0.9166666666666666
0.03333333333333333,0.03333333333333333,0.0,-1.0
-0.1111111111111111,0.0,0.1111111111111111,-1.0
-0.1111111111111111,0.0,0.1111111111111111,-1.0
-0.03571428571428571,0.0,0.03571428571428571,-1.0
-0.053968253968253964,0.05714285714285714,0.1111111111111111,-0.8857142857142857
-0.06666666666666667,0.0,0.06666666666666667,-1.0
0.027777777777777776,0.08333333333333333,0.05555555555555555,-0.8888888888888888
-0.09090909090909091,0.0,0.09090909090909091,-1.0
0.024999999999999994,0.125,0.1,-0.8
-0.11904761904761904,0.047619047619047616,0.16666666666666666,-0.9047619047619048
